Condition,Page,Trial_No,LCP_ms,FCP_ms,Transfer_MB,Prerendered
regular4g,Light,1,496.00,496.00,0.01,false
regular4g,Light,2,216.00,0.00,0.01,false
regular4g,Light,3,236.00,0.00,0.01,false
regular4g,Light,4,220.00,0.00,0.01,false
regular4g,Light,5,236.00,0.00,0.01,false
regular4g,Light,6,208.00,208.00,0.01,false
regular4g,Light,7,284.00,0.00,0.01,false
regular4g,Light,8,232.00,0.00,0.01,false
regular4g,Light,9,456.00,0.00,0.01,false
regular4g,Light,10,220.00,0.00,0.01,false
regular4g,Light,11,224.00,0.00,0.01,false
regular4g,Light,12,220.00,0.00,0.01,false
regular4g,Light,13,220.00,0.00,0.01,false
regular4g,Light,14,220.00,0.00,0.01,false
regular4g,Light,15,168.00,168.00,0.01,false
regular4g,Light,16,224.00,0.00,0.01,false
regular4g,Light,17,300.00,0.00,0.01,false
regular4g,Light,18,668.00,0.00,0.01,false
regular4g,Light,19,220.00,0.00,0.01,false
regular4g,Light,20,216.00,0.00,0.01,false
regular4g,Light,21,220.00,0.00,0.01,false
regular4g,Light,22,216.00,0.00,0.01,false
regular4g,Light,23,212.00,0.00,0.01,false
regular4g,Light,24,220.00,0.00,0.01,false
regular4g,Light,25,800.00,0.00,0.01,false
regular4g,Light,26,212.00,0.00,0.01,false
regular4g,Light,27,232.00,0.00,0.01,false
regular4g,Light,28,220.00,0.00,0.01,false
regular4g,Light,29,228.00,0.00,0.01,false
regular4g,Light,30,228.00,0.00,0.01,false
regular4g,Medium,1,812.00,512.00,1.85,false
regular4g,Medium,2,416.00,232.00,1.85,false
regular4g,Medium,3,408.00,156.00,1.85,false
regular4g,Medium,4,2776.00,660.00,1.85,false
regular4g,Medium,5,520.00,164.00,1.85,false
regular4g,Medium,6,2956.00,524.00,1.85,false
regular4g,Medium,7,404.00,184.00,1.85,false
regular4g,Medium,8,404.00,172.00,1.85,false
regular4g,Medium,9,416.00,164.00,1.85,false
regular4g,Medium,10,404.00,160.00,1.85,false
regular4g,Medium,11,1460.00,392.00,1.85,false
regular4g,Medium,12,1304.00,368.00,1.85,false
regular4g,Medium,13,464.00,172.00,1.85,false
regular4g,Medium,14,404.00,168.00,1.85,false
regular4g,Medium,15,416.00,168.00,1.85,false
regular4g,Medium,16,416.00,232.00,1.85,false
regular4g,Medium,17,400.00,236.00,1.85,false
regular4g,Medium,18,412.00,180.00,1.85,false
regular4g,Medium,19,412.00,244.00,1.85,false
regular4g,Medium,20,408.00,168.00,1.85,false
regular4g,Medium,21,408.00,176.00,1.85,false
regular4g,Medium,22,408.00,168.00,1.85,false
regular4g,Medium,23,412.00,244.00,1.85,false
regular4g,Medium,24,412.00,188.00,1.85,false
regular4g,Medium,25,656.00,248.00,1.85,false
regular4g,Medium,26,412.00,164.00,1.85,false
regular4g,Medium,27,408.00,168.00,1.85,false
regular4g,Medium,28,416.00,168.00,1.85,false
regular4g,Medium,29,408.00,176.00,1.85,false
regular4g,Medium,30,404.00,304.00,1.85,false
regular4g,Heavy,1,3540.00,540.00,12.02,false
regular4g,Heavy,2,11232.00,164.00,12.02,false
regular4g,Heavy,3,4028.00,144.00,12.02,false
regular4g,Heavy,4,3276.00,172.00,12.02,false
regular4g,Heavy,5,2640.00,172.00,12.02,false
regular4g,Heavy,6,2612.00,176.00,12.02,false
regular4g,Heavy,7,2504.00,152.00,12.02,false
regular4g,Heavy,8,2540.00,160.00,12.02,false
regular4g,Heavy,9,3364.00,152.00,12.02,false
regular4g,Heavy,10,9400.00,168.00,12.02,false
regular4g,Heavy,11,3156.00,156.00,12.02,false
regular4g,Heavy,12,5124.00,144.00,12.02,false
regular4g,Heavy,13,5264.00,180.00,12.02,false
regular4g,Heavy,14,3284.00,164.00,12.02,false
regular4g,Heavy,15,5876.00,156.00,12.02,false
regular4g,Heavy,16,4164.00,144.00,12.02,false
regular4g,Heavy,17,2484.00,160.00,12.02,false
regular4g,Heavy,18,3520.00,148.00,12.02,false
regular4g,Heavy,19,3192.00,152.00,12.02,false
regular4g,Heavy,20,6912.00,268.00,12.02,false
regular4g,Heavy,21,3572.00,168.00,12.02,false
regular4g,Heavy,22,4764.00,152.00,12.02,false
regular4g,Heavy,23,4260.00,176.00,12.02,false
regular4g,Heavy,24,7928.00,168.00,12.02,false
regular4g,Heavy,25,5968.00,140.00,12.02,false
regular4g,Heavy,26,5044.00,160.00,12.02,false
regular4g,Heavy,27,13628.00,540.00,12.02,false
regular4g,Heavy,28,14900.00,144.00,12.02,false
regular4g,Heavy,29,15024.00,164.00,12.02,false
regular4g,Heavy,30,6056.00,144.00,12.02,false
